"Response ID","Time Started","Date Submitted","Status","Contact ID","Legacy Comments","Comments","Language","Referer","SessionID","User Agent","Tags","IP Address","Longitude","Latitude","Country","City","State/Region","Postal","Access Log","communityBoardID","isDeleted","Policy Area","Need Group","Agency","Type","Need","Request","Dropdown Combinations","Dropdown Logic","Budget Request Title Please give your budget request a short and recognizable title that will allow it to be readily identified (ex. PS 41 Amenity Upgrade)","Continued Support:Please check the box below if you'd like to mark this request for Continued Support","Budget Request - Continued Support Checkbox Visibility","Explanation","Is this request specific to a particular site, location, or facility?","Address:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Site or Facility Name:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Facility Name:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Cross-Street 1 (for Street Segment):Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Cross-Street 2 (for Street Segment):Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","address-search.js","On Street (Enter Street Name):Complete the following if your request is for a street segment","Cross Street 1:Complete the following if your request is for a street segment","Cross Street 2:Complete the following if your request is for a street segment","Side of Street (if only one-side):Complete the following if your request is for a street segment","Street Name:Complete the following if your request is for an intersection","Intersection - Street 1:Complete the following if your request is for an intersection","Intersection - Street 2:Complete the following if your request is for an intersection","Compass Direction (if streets intersect twice):Complete the following if your request is for an intersection","Supporter 1","Supporter 2","1:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","2:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","3:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","4:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","5:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","6:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","7:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","8:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","9:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","10:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","previousFYAgencyResponse","previousFYAgencyCategoryResponse","currentFYAgencyResponse","currentFYAgencyCategoryResponse","previousFYRanking","currentFYRanking","Previous Year ID","Current Year ID"
"6645","Aug 21, 2024 9:46:00 am","Aug 21, 2024 9:46:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724247960_66c5ef985b9143.62040817","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Transportation and Mobility","Needs for Transit Services","New York City Transit Authority (NYCTA)","Expense","Transit service","Other transit service requests","","","Other transit service requests","","","(Revised) Propose modify / Increase funding for subway stations as it relates to maintenance, repairs, and cleaning. ","No","","","","","","","","","","","","","","","","","","","","","","","","","","","More information is needed from the community board before making a funding decision. The community board should contact the agency.","This is not a budget request","","","24","","312202524E","7531899-6645-2026-MN12-E"
"6646","Aug 21, 2024 9:46:00 am","Aug 21, 2024 9:46:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724247968_66c5efa061b993.99990103","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Transportation and Mobility","Needs for Transit Services","New York City Transit Authority (NYCTA)","Capital","Transit Infrastructure","Repair or upgrade subway stations or other transit infrastructure","","","Repair or upgrade subway stations or other transit infrastructure","","","Rehabilitate the W. 157 Street IRT Subway Station. Sustainability repairs to 157th 1 Station to reduce vulnerability to extreme weather events.","Yes","","West 157 subway station","","","","","","","","","","","","","","","","","","","","","","","","","More information is needed from the community board before making a funding decision. The community board should contact the agency.","The agency requires additional information from the community board regarding this request","","","25","","312202525C","7531899-6646-2026-MN12-C"
"6647","Aug 21, 2024 9:46:00 am","Aug 21, 2024 9:46:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724247984_66c5efb06d1ea5.90350190","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Housing, Economic Development, and Land Use","Needs for Housing","Housing Preservation and Development (HPD)","Expense","Affordable housing programs","Provide, expand, or enhance programs for homeowners and first-time homebuyers","","","Provide, expand, or enhance programs for homeowners and first-time homebuyers","","","Funding for Programs on home ownership","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","312202525E","7531899-6647-2026-MN12-E"
"6648","Aug 21, 2024 9:46:00 am","Aug 21, 2024 9:46:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724247992_66c5efb875c105.07475461","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Health Care and Human Services","Needs for Older NYs","Department for the Aging (DFTA)","Capital","Facilities for seniors","Renovate or upgrade a senior center","","","Renovate or upgrade a senior center","","","Provide funding for walk-in tubs for senior housing","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","312202526C","7531899-6648-2026-MN12-C"
"6649","Aug 21, 2024 9:46:00 am","Aug 21, 2024 9:46:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724248000_66c5efc07c7ae1.42266440","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Housing, Economic Development, and Land Use","Needs for Housing","Housing Preservation and Development (HPD)","Expense","Affordable housing programs","Other expense budget request for HPD","","","Other expense budget request for HPD","","","Increase funding for supportive housing for LGBTQ youth.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","The agency will try to accommodate this issue within existing resources.","The agency agrees with this request, but funding cannot be determined at this time","","","26","","312202526E","7531899-6649-2026-MN12-E"
"6650","Aug 21, 2024 9:46:00 am","Aug 21, 2024 9:46:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724248008_66c5efc882f0f0.47173667","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Capital","Park, buildings, and access improvements","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","","","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","","","More family picnic / BBQ areas throughout CD12 Parks to meet increasing community demand","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","312202527C","7531899-6650-2026-MN12-C"
"6651","Aug 21, 2024 9:46:00 am","Aug 21, 2024 9:46:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724247976_66c5efa868a280.21158365","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Housing, Economic Development, and Land Use","Needs for Housing","New York City Housing Authority (NYCHA)","Expense","Housing support","Other housing support requests","","","Other housing support requests","","","Workshops for landlords on Local Law 97","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","312202527E","7531899-6651-2026-MN12-E"
"6652","Aug 21, 2024 9:46:00 am","Aug 21, 2024 9:47:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724248016_66c5efd0895136.11792352","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Capital","Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","","","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","","","Raoul Wallenberg Playground & Basketball Court Reconstruction (Amsterdam btw. W 188/190).","Yes","","Raoul Wallenberg Playgound","","","","","","","","","","","","","","","","","","","","","","","","","Contact the Community Board Unit at OMB for information regarding this request.","This request requires further study","","","28","","312202528C","7531899-6652-2026-MN12-C"
"6653","Aug 21, 2024 9:47:00 am","Aug 21, 2024 9:47:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724248024_66c5efd88ca317.43095947","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Expense","Park maintenance and safety","Enhance park safety through design interventions, e.g. better lighting","","","Enhance park safety through design interventions, e.g. better lighting","","","Enhance park safety through design interventions, e.g., better lighting: increase funding with preference for solar lighting in CD12 parks, including greenway","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","","312202528E","7531899-6653-2026-MN12-E"
"6654","Aug 21, 2024 9:47:00 am","Aug 21, 2024 9:47:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724248032_66c5efe09c73b2.74237873","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Capital","Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","","","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","","","Repair & reconstruct Ft. Tryon Park's Linden Terrace","Yes","","Linden Terrace","","","","","","","","","","","","","","","","","","","","","","","","","Contact the Community Board Unit at OMB for information regarding this request.","This request requires further study","","","29","","312202529C","7531899-6654-2026-MN12-C"
"6655","Aug 21, 2024 9:47:00 am","Aug 21, 2024 9:47:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724248040_66c5efe8a0ea89.54258155","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Parks, Cultural, and Other Community Facilities","Needs for Cultural Services","Department of Cultural Affairs (DCLA)","Expense","Cultural facilities and resources","Support nonprofit cultural organizations","","","Support nonprofit cultural organizations","","","(Revised) Increase DCLA funding by at least $1mm to increase support for arts programming and individual artists within CD12M (DCLA)","No","","","","","","","","","","","","","","","","","","","","","","","","","","","More information is required, specifically each request must be tied to one organization, and mention a specific project.","The agency agrees with this request, but the funding decision follows a different budget process (i.e. RFP, local level decision)","","","29","","312202529E","7531899-6655-2026-MN12-E"
"6656","Aug 21, 2024 9:47:00 am","Aug 21, 2024 9:47:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724248048_66c5eff0a3e853.86818363","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Housing, Economic Development, and Land Use","Needs for Economic Development","Department of Small Business Services (SBS)","Capital","Commercial district revitalization","Other capital budget request for SBS","","","Other capital budget request for SBS","","","Build a NYC Small Business support center in CB12m","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","312202530C","7531899-6656-2026-MN12-C"
"6657","Aug 21, 2024 9:47:00 am","Aug 21, 2024 9:47:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724248056_66c5eff8a98f28.18077772","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Expense","Park maintenance and safety","Improve trash removal and cleanliness","","","Improve trash removal and cleanliness","","","Add recycling collection and more trash receptacles in parks.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","Contact the Community Board Unit at OMB for information regarding this request.","This request requires further study","","","30","","312202530E","7531899-6657-2026-MN12-E"
"6658","Aug 21, 2024 9:47:00 am","Aug 21, 2024 9:47:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724248064_66c5f000b24c01.46625172","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Capital","Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","","","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","","","Highbridge Rec Center weatherization (fix windows to retain heat/cooling)","Yes","HIGHBRIDGE RECREATION CENTER, New York, NY, USA","HIGHBRIDGE RECREATION CENTER","","","","","","","","","","","","","","","","","","","","","","","","","Contact the Community Board Unit at OMB for information regarding this request.","This request requires further study","","","31","","312202531C","7531899-6658-2026-MN12-C"
"6659","Aug 21, 2024 9:47:00 am","Aug 21, 2024 9:47:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724248072_66c5f008bda876.20647420","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Youth, Education, and Child Welfare","Needs for Youth and Child Welfare","Department of Youth and Community Development (DYCD)","Expense","After school programs","Other expense budget request for DYCD","","","Other expense budget request for DYCD","","","Allocate funding for media education for youth","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","","312202531E","7531899-6659-2026-MN12-E"
"6660","Aug 21, 2024 9:48:00 am","Aug 21, 2024 9:48:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724248080_66c5f010c255a1.56459853","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Transportation and Mobility","Needs for Transit Services","New York City Transit Authority (NYCTA)","Capital","Transit Infrastructure","Repair or upgrade subway stations or other transit infrastructure","","","Repair or upgrade subway stations or other transit infrastructure","","","Rehabilitate the 181st IND line subway stations.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","More information is needed from the community board before making a funding decision. The community board should contact the agency.","The agency requires additional information from the community board regarding this request","","","32","","312202532C","7531899-6660-2026-MN12-C"
"6661","Aug 21, 2024 9:48:00 am","Aug 21, 2024 9:48:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724248088_66c5f018cb6966.47490102","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Expense","Park maintenance and safety","Other expense budget request for DPR","","","Other expense budget request for DPR","","","Add funding to Partnerships for Parks & City Parks Foundation to support friends-of-parks groups.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","Contact the Community Board Unit at OMB for information regarding this request.","This request requires further study","","","32","","312202532E","7531899-6661-2026-MN12-E"
"6662","Aug 21, 2024 9:48:00 am","Aug 21, 2024 9:48:00 am","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724243443_66c5ddf331c382.31938130&ssoconfirmation=ZWppTUtGaDY3cWs1aThxN1poZHlhcmx0Vzk5eX53bG13d01ycVd2d2NpaHE4QVZ6UXVNZVB4VGRKTTY0MWNmeWVtc3VuT2NrdURIUmliVUtzTXVIemswYko0V09KRUlneWpBaUZpNjEwUVJLTHUzN2RXfnRXSnV3d0c3SlJmTkQzVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724248096_66c5f020d13843.00878188","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","MN12","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Capital","Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","","","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","","","Renovate McKenna Square Park.","Yes",""," McKenna Square Park","","","","","","","","","","","","","","","","","","","","","","","","","Contact the Community Board Unit at OMB for information regarding this request.","This request requires further study","","","33","","312202533C","7531899-6662-2026-MN12-C"
